BeerID,Name,Style,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,SugarScale,BrewMethod
1,Vanilla Cream Ale,Irish Cream Ale,21.77,1.055,1.013,5.48,17.65,4.83,28.39,75,1.038,70.0,Specific Gravity,All Grain
8,Spotted Clown (New Glarus Spotted Cow clone),Irish Cream Ale,20.82,1.054,1.014,5.36,19.97,5.94,28.39,75,1.04,70.0,Specific Gravity,All Grain
43,Vanilla Caramel Cream Ale,Irish Cream Ale,18.93,1.055,1.014,5.43,33.67,10.08,15.14,60,1.042,70.0,Specific Gravity,extract
86,Leffe Blonde Clone v2,Irish Pale Ale,18.93,1.07,1.02,6.47,23.28,5.93,7.57,60,1.1740000000000002,50.0,Specific Gravity,extract
113,Brooklyn Lager clone,Irish Lager,5.0,1.06,1.0170000000000001,5.65,34.79,11.92,7.0,60,1.043,57.0,Specific Gravity,All Grain
123,Smithwick's Irish Ale,Irish Red Ale,18.93,1.046,1.011,4.5,0.0,16.76,24.61,75,1.042,75.0,Specific Gravity,All Grain
169,Basic Irish Red Ale,Irish Red Ale,18.93,1.053,1.015,5.03,28.85,16.42,24.61,90,1.041,75.0,Specific Gravity,All Grain
175,They Stole Our Fleg - Irish Red,Irish Red Ale,21.0,1.046,1.008,4.98,26.72,9.67,28.0,90,1.035,75.0,Specific Gravity,All Grain
178,Raging Red Irish Red Ale,Irish Red Ale,20.82,1.055,1.015,5.22,34.36,15.23,28.39,60,1.035,72.0,Specific Gravity,All Grain
200,Cream of Three Crops,Irish Cream Ale,20.82,1.044,1.012,4.15,18.13,2.56,17.03,90,1.042,75.0,Specific Gravity,BIAB
206,Bruxelles Blonde Clone (?),Irish Pale Ale,3.79,1.056,1.013,5.63,19.2,4.77,4.73,60,1.042,70.0,Specific Gravity,All Grain
225,' #1 Irish Red Ale (killians clone),Irish Red Ale,19.87,1.0490000000000002,1.0090000000000001,5.2,20.68,13.91,11.36,50,1.0859999999999999,35.0,Specific Gravity,extract
239,Kilkenny Clone 5 GAL,Irish Red Ale,20.82,1.053,1.014,5.13,27.22,12.01,28.39,90,1.0390000000000001,65.0,Specific Gravity,All Grain
241,BC Irish Red,Irish Red Ale,20.0,1.0490000000000002,1.011,5.03,14.92,20.24,9.0,75,1.109,50.0,Specific Gravity,Partial Mash
244,Sleeman Cream Ale Clone,Irish Cream Ale,20.8,1.055,1.015,5.22,19.73,4.74,28.4,60,1.042,70.0,Specific Gravity,All Grain
280,Belgian Red,Irish Red Ale,15.14,1.054,1.011,5.64,34.63,15.66,18.93,60,1.044,85.0,Specific Gravity,All Grain
312,Red November,Irish Red Ale,22.71,1.054,1.015,5.22,26.43,18.3,29.34,60,1.042,71.0,Specific Gravity,All Grain
330,Jeremiah Red Clone,Irish Red Ale,18.93,1.068,1.014,7.07,0.0,16.04,24.61,60,1.042,75.0,Specific Gravity,All Grain
341,Mexican vienna (Victoria Clone),Irish Lager,170.34,1.044,1.011,4.32,22.25,7.19,179.81,90,1.041,70.0,Specific Gravity,All Grain
